Specimen Collection Date,Age Group,New Confirmed Cases,Cumulative Confirmed Cases,Last Updated at
11-06-20,51-60,3,391,11/27/2020 02:15:01 PM
12-06-20,51-60,1,392,11/27/2020 02:15:01 PM
13-06-20,51-60,1,393,11/27/2020 02:15:01 PM
14-06-20,51-60,1,394,11/27/2020 02:15:01 PM
15-06-20,51-60,2,396,11/27/2020 02:15:01 PM
16-06-20,51-60,1,397,11/27/2020 02:15:01 PM
17-06-20,51-60,2,399,11/27/2020 02:15:01 PM
18-06-20,51-60,5,404,11/27/2020 02:15:01 PM
19-06-20,51-60,2,406,11/27/2020 02:15:01 PM
20-06-20,51-60,4,410,11/27/2020 02:15:01 PM
21-06-20,51-60,1,411,11/27/2020 02:15:01 PM
22-06-20,51-60,17,428,11/27/2020 02:15:01 PM
23-06-20,51-60,5,433,11/27/2020 02:15:01 PM
24-06-20,51-60,2,435,11/27/2020 02:15:01 PM
25-06-20,51-60,10,445,11/27/2020 02:15:01 PM
26-06-20,51-60,6,451,11/27/2020 02:15:01 PM
27-06-20,51-60,4,455,11/27/2020 02:15:01 PM
28-06-20,51-60,7,462,11/27/2020 02:15:01 PM
29-06-20,51-60,4,466,11/27/2020 02:15:01 PM
30-06-20,51-60,6,472,11/27/2020 02:15:01 PM
01-07-20,51-60,9,481,11/27/2020 02:15:01 PM
02-07-20,51-60,10,491,11/27/2020 02:15:01 PM
03-07-20,51-60,5,496,11/27/2020 02:15:01 PM
04-07-20,51-60,9,505,11/27/2020 02:15:01 PM
05-07-20,51-60,5,510,11/27/2020 02:15:01 PM
06-07-20,51-60,14,524,11/27/2020 02:15:01 PM
07-07-20,51-60,12,536,11/27/2020 02:15:01 PM
08-07-20,51-60,11,547,11/27/2020 02:15:01 PM
09-07-20,51-60,16,563,11/27/2020 02:15:01 PM
10-07-20,51-60,13,576,11/27/2020 02:15:01 PM
11-07-20,51-60,2,578,11/27/2020 02:15:01 PM
12-07-20,51-60,8,586,11/27/2020 02:15:01 PM
13-07-20,51-60,8,594,11/27/2020 02:15:01 PM
14-07-20,51-60,12,606,11/27/2020 02:15:01 PM
15-07-20,51-60,14,620,11/27/2020 02:15:01 PM
16-07-20,51-60,18,638,11/27/2020 02:15:01 PM
17-07-20,51-60,15,653,11/27/2020 02:15:01 PM
18-07-20,51-60,9,662,11/27/2020 02:15:01 PM
19-07-20,51-60,13,675,11/27/2020 02:15:01 PM
20-07-20,51-60,18,693,11/27/2020 02:15:01 PM
21-07-20,51-60,11,704,11/27/2020 02:15:01 PM
22-07-20,51-60,16,720,11/27/2020 02:15:01 PM
23-07-20,51-60,7,727,11/27/2020 02:15:01 PM
24-07-20,51-60,20,747,11/27/2020 02:15:01 PM
25-07-20,51-60,8,755,11/27/2020 02:15:01 PM
26-07-20,51-60,6,761,11/27/2020 02:15:01 PM
27-07-20,51-60,8,769,11/27/2020 02:15:01 PM
28-07-20,51-60,17,786,11/27/2020 02:15:01 PM
29-07-20,51-60,17,803,11/27/2020 02:15:01 PM
30-07-20,51-60,19,822,11/27/2020 02:15:01 PM
31-07-20,51-60,15,837,11/27/2020 02:15:01 PM
01-08-20,51-60,4,841,11/27/2020 02:15:01 PM
02-08-20,51-60,2,843,11/27/2020 02:15:01 PM
03-08-20,51-60,11,854,11/27/2020 02:15:01 PM
04-08-20,51-60,7,861,11/27/2020 02:15:01 PM
05-08-20,51-60,16,877,11/27/2020 02:15:01 PM
06-08-20,51-60,12,889,11/27/2020 02:15:01 PM
07-08-20,51-60,13,902,11/27/2020 02:15:01 PM
08-08-20,51-60,4,906,11/27/2020 02:15:01 PM
09-08-20,51-60,8,914,11/27/2020 02:15:01 PM
10-08-20,51-60,14,928,11/27/2020 02:15:01 PM
11-08-20,51-60,13,941,11/27/2020 02:15:01 PM
12-08-20,51-60,15,956,11/27/2020 02:15:01 PM
13-08-20,51-60,9,965,11/27/2020 02:15:01 PM
14-08-20,51-60,11,976,11/27/2020 02:15:01 PM
15-08-20,51-60,8,984,11/27/2020 02:15:01 PM
16-08-20,51-60,7,991,11/27/2020 02:15:01 PM
17-08-20,51-60,8,999,11/27/2020 02:15:01 PM
18-08-20,51-60,10,1009,11/27/2020 02:15:01 PM
19-08-20,51-60,13,1022,11/27/2020 02:15:01 PM
20-08-20,51-60,9,1031,11/27/2020 02:15:01 PM
21-08-20,51-60,6,1037,11/27/2020 02:15:01 PM
22-08-20,51-60,5,1042,11/27/2020 02:15:01 PM
23-08-20,51-60,5,1047,11/27/2020 02:15:01 PM
24-08-20,51-60,10,1057,11/27/2020 02:15:01 PM
25-08-20,51-60,10,1067,11/27/2020 02:15:01 PM
26-08-20,51-60,9,1076,11/27/2020 02:15:01 PM
27-08-20,51-60,7,1083,11/27/2020 02:15:01 PM
28-08-20,51-60,5,1088,11/27/2020 02:15:01 PM
29-08-20,51-60,4,1092,11/27/2020 02:15:01 PM
30-08-20,51-60,3,1095,11/27/2020 02:15:01 PM
31-08-20,51-60,13,1108,11/27/2020 02:15:01 PM
01-09-20,51-60,12,1120,11/27/2020 02:15:01 PM
02-09-20,51-60,10,1130,11/27/2020 02:15:01 PM
03-09-20,51-60,4,1134,11/27/2020 02:15:01 PM
04-09-20,51-60,8,1142,11/27/2020 02:15:01 PM
05-09-20,51-60,4,1146,11/27/2020 02:15:01 PM
06-09-20,51-60,4,1150,11/27/2020 02:15:01 PM
07-09-20,51-60,3,1153,11/27/2020 02:15:01 PM
08-09-20,51-60,9,1162,11/27/2020 02:15:01 PM
09-09-20,51-60,3,1165,11/27/2020 02:15:01 PM
10-09-20,51-60,6,1171,11/27/2020 02:15:01 PM
11-09-20,51-60,16,1187,11/27/2020 02:15:01 PM
12-09-20,51-60,6,1193,11/27/2020 02:15:01 PM
13-09-20,51-60,6,1199,11/27/2020 02:15:01 PM
14-09-20,51-60,11,1210,11/27/2020 02:15:01 PM
15-09-20,51-60,10,1220,11/27/2020 02:15:01 PM
16-09-20,51-60,8,1228,11/27/2020 02:15:01 PM
17-09-20,51-60,8,1236,11/27/2020 02:15:01 PM
18-09-20,51-60,6,1242,11/27/2020 02:15:01 PM
19-09-20,51-60,5,1247,11/27/2020 02:15:01 PM
20-09-20,51-60,4,1251,11/27/2020 02:15:01 PM
21-09-20,51-60,12,1263,11/27/2020 02:15:01 PM
22-09-20,51-60,8,1271,11/27/2020 02:15:01 PM
23-09-20,51-60,6,1277,11/27/2020 02:15:01 PM
24-09-20,51-60,4,1281,11/27/2020 02:15:01 PM
25-09-20,51-60,5,1286,11/27/2020 02:15:01 PM
26-09-20,51-60,1,1287,11/27/2020 02:15:01 PM
27-09-20,51-60,6,1293,11/27/2020 02:15:01 PM
28-09-20,51-60,7,1300,11/27/2020 02:15:01 PM
29-09-20,51-60,4,1304,11/27/2020 02:15:01 PM
30-09-20,51-60,6,1310,11/27/2020 02:15:01 PM
01-10-20,51-60,3,1313,11/27/2020 02:15:01 PM
02-10-20,51-60,2,1315,11/27/2020 02:15:01 PM
03-10-20,51-60,2,1317,11/27/2020 02:15:01 PM
04-10-20,51-60,1,1318,11/27/2020 02:15:01 PM
05-10-20,51-60,3,1321,11/27/2020 02:15:01 PM
06-10-20,51-60,1,1322,11/27/2020 02:15:01 PM
07-10-20,51-60,1,1323,11/27/2020 02:15:01 PM
08-10-20,51-60,2,1325,11/27/2020 02:15:01 PM
09-10-20,51-60,1,1326,11/27/2020 02:15:01 PM
10-10-20,51-60,3,1329,11/27/2020 02:15:01 PM
11-10-20,51-60,2,1331,11/27/2020 02:15:01 PM
12-10-20,51-60,4,1335,11/27/2020 02:15:01 PM
13-10-20,51-60,6,1341,11/27/2020 02:15:01 PM
14-10-20,51-60,2,1343,11/27/2020 02:15:01 PM
15-10-20,51-60,6,1349,11/27/2020 02:15:01 PM
16-10-20,51-60,2,1351,11/27/2020 02:15:01 PM
17-10-20,51-60,3,1354,11/27/2020 02:15:01 PM
18-10-20,51-60,4,1358,11/27/2020 02:15:01 PM
19-10-20,51-60,7,1365,11/27/2020 02:15:01 PM
20-10-20,51-60,2,1367,11/27/2020 02:15:01 PM
21-10-20,51-60,0,1367,11/27/2020 02:15:01 PM
22-10-20,51-60,6,1373,11/27/2020 02:15:01 PM
23-10-20,51-60,7,1380,11/27/2020 02:15:01 PM
24-10-20,51-60,3,1383,11/27/2020 02:15:01 PM
25-10-20,51-60,6,1389,11/27/2020 02:15:01 PM
26-10-20,51-60,3,1392,11/27/2020 02:15:01 PM
27-10-20,51-60,8,1400,11/27/2020 02:15:01 PM
28-10-20,51-60,6,1406,11/27/2020 02:15:01 PM
29-10-20,51-60,1,1407,11/27/2020 02:15:01 PM
30-10-20,51-60,13,1420,11/27/2020 02:15:01 PM
31-10-20,51-60,11,1431,11/27/2020 02:15:01 PM
01-11-20,51-60,0,1431,11/27/2020 02:15:01 PM
02-11-20,51-60,11,1442,11/27/2020 02:15:01 PM
03-11-20,51-60,5,1447,11/27/2020 02:15:01 PM
04-11-20,51-60,6,1453,11/27/2020 02:15:01 PM
05-11-20,51-60,13,1466,11/27/2020 02:15:01 PM
06-11-20,51-60,14,1480,11/27/2020 02:15:01 PM
07-11-20,51-60,3,1483,11/27/2020 02:15:01 PM
08-11-20,51-60,3,1486,11/27/2020 02:15:01 PM
09-11-20,51-60,8,1494,11/27/2020 02:15:01 PM
10-11-20,51-60,9,1503,11/27/2020 02:15:01 PM
11-11-20,51-60,13,1516,11/27/2020 02:15:01 PM
12-11-20,51-60,14,1530,11/27/2020 02:15:01 PM
13-11-20,51-60,15,1545,11/27/2020 02:15:01 PM
14-11-20,51-60,6,1551,11/27/2020 02:15:01 PM
15-11-20,51-60,9,1560,11/27/2020 02:15:01 PM
16-11-20,51-60,19,1579,11/27/2020 02:15:01 PM
17-11-20,51-60,22,1601,11/27/2020 02:15:01 PM
18-11-20,51-60,16,1617,11/27/2020 02:15:01 PM
19-11-20,51-60,19,1636,11/27/2020 02:15:01 PM
20-11-20,51-60,13,1649,11/27/2020 02:15:01 PM
21-11-20,51-60,8,1657,11/27/2020 02:15:01 PM
22-11-20,51-60,8,1665,11/27/2020 02:15:01 PM
23-11-20,51-60,20,1685,11/27/2020 02:15:01 PM
24-11-20,51-60,18,1703,11/27/2020 02:15:01 PM
25-11-20,51-60,7,1710,11/27/2020 02:15:01 PM
26-11-20,51-60,0,1710,11/27/2020 02:15:01 PM
15-03-20,71-80,3,6,11/27/2020 02:15:01 PM
16-03-20,71-80,2,8,11/27/2020 02:15:01 PM
17-03-20,71-80,1,9,11/27/2020 02:15:01 PM
18-03-20,71-80,1,10,11/27/2020 02:15:01 PM
19-03-20,71-80,2,12,11/27/2020 02:15:01 PM
20-03-20,71-80,2,14,11/27/2020 02:15:01 PM
21-03-20,71-80,1,15,11/27/2020 02:15:01 PM
22-03-20,71-80,0,15,11/27/2020 02:15:01 PM
23-03-20,71-80,3,18,11/27/2020 02:15:01 PM
24-03-20,71-80,2,20,11/27/2020 02:15:01 PM
25-03-20,71-80,3,23,11/27/2020 02:15:01 PM
26-03-20,71-80,3,26,11/27/2020 02:15:01 PM
27-03-20,71-80,2,28,11/27/2020 02:15:01 PM
28-03-20,71-80,0,28,11/27/2020 02:15:01 PM
29-03-20,71-80,4,32,11/27/2020 02:15:01 PM
30-03-20,71-80,2,34,11/27/2020 02:15:01 PM
31-03-20,71-80,3,37,11/27/2020 02:15:01 PM
01-04-20,71-80,3,40,11/27/2020 02:15:01 PM
02-04-20,71-80,3,43,11/27/2020 02:15:01 PM
03-04-20,71-80,3,46,11/27/2020 02:15:01 PM
04-04-20,71-80,0,46,11/27/2020 02:15:01 PM
05-04-20,71-80,3,49,11/27/2020 02:15:01 PM
06-04-20,71-80,3,52,11/27/2020 02:15:01 PM
07-04-20,71-80,5,57,11/27/2020 02:15:01 PM
08-04-20,71-80,4,61,11/27/2020 02:15:01 PM
09-04-20,71-80,2,63,11/27/2020 02:15:01 PM
10-04-20,71-80,1,64,11/27/2020 02:15:01 PM
11-04-20,71-80,1,65,11/27/2020 02:15:01 PM
12-04-20,71-80,3,68,11/27/2020 02:15:01 PM
13-04-20,71-80,2,70,11/27/2020 02:15:01 PM
14-04-20,71-80,3,73,11/27/2020 02:15:01 PM
15-04-20,71-80,6,79,11/27/2020 02:15:01 PM
16-04-20,71-80,0,79,11/27/2020 02:15:01 PM
