Specimen Collection Date,Age Group,New Confirmed Cases,Cumulative Confirmed Cases,Last Updated at
28-09-20,71-80,2,401,11/27/2020 02:15:01 PM
29-09-20,71-80,1,402,11/27/2020 02:15:01 PM
30-09-20,71-80,3,405,11/27/2020 02:15:01 PM
01-10-20,71-80,0,405,11/27/2020 02:15:01 PM
02-10-20,71-80,2,407,11/27/2020 02:15:01 PM
03-10-20,71-80,0,407,11/27/2020 02:15:01 PM
04-10-20,71-80,1,408,11/27/2020 02:15:01 PM
05-10-20,71-80,1,409,11/27/2020 02:15:01 PM
06-10-20,71-80,2,411,11/27/2020 02:15:01 PM
07-10-20,71-80,0,411,11/27/2020 02:15:01 PM
08-10-20,71-80,1,412,11/27/2020 02:15:01 PM
09-10-20,71-80,1,413,11/27/2020 02:15:01 PM
10-10-20,71-80,1,414,11/27/2020 02:15:01 PM
11-10-20,71-80,0,414,11/27/2020 02:15:01 PM
12-10-20,71-80,2,416,11/27/2020 02:15:01 PM
13-10-20,71-80,0,416,11/27/2020 02:15:01 PM
14-10-20,71-80,1,417,11/27/2020 02:15:01 PM
15-10-20,71-80,0,417,11/27/2020 02:15:01 PM
16-10-20,71-80,2,419,11/27/2020 02:15:01 PM
17-10-20,71-80,0,419,11/27/2020 02:15:01 PM
18-10-20,71-80,0,419,11/27/2020 02:15:01 PM
19-10-20,71-80,2,421,11/27/2020 02:15:01 PM
20-10-20,71-80,0,421,11/27/2020 02:15:01 PM
21-10-20,71-80,0,421,11/27/2020 02:15:01 PM
22-10-20,71-80,2,423,11/27/2020 02:15:01 PM
23-10-20,71-80,1,424,11/27/2020 02:15:01 PM
24-10-20,71-80,4,428,11/27/2020 02:15:01 PM
25-10-20,71-80,1,429,11/27/2020 02:15:01 PM
26-10-20,71-80,3,432,11/27/2020 02:15:01 PM
27-10-20,71-80,3,435,11/27/2020 02:15:01 PM
28-10-20,71-80,0,435,11/27/2020 02:15:01 PM
29-10-20,71-80,1,436,11/27/2020 02:15:01 PM
30-10-20,71-80,0,436,11/27/2020 02:15:01 PM
31-10-20,71-80,4,440,11/27/2020 02:15:01 PM
01-11-20,71-80,0,440,11/27/2020 02:15:01 PM
02-11-20,71-80,1,441,11/27/2020 02:15:01 PM
03-11-20,71-80,1,442,11/27/2020 02:15:01 PM
04-11-20,71-80,4,446,11/27/2020 02:15:01 PM
05-11-20,71-80,3,449,11/27/2020 02:15:01 PM
06-11-20,71-80,6,455,11/27/2020 02:15:01 PM
07-11-20,71-80,2,457,11/27/2020 02:15:01 PM
08-11-20,71-80,0,457,11/27/2020 02:15:01 PM
09-11-20,71-80,1,458,11/27/2020 02:15:01 PM
10-11-20,71-80,1,459,11/27/2020 02:15:01 PM
11-11-20,71-80,2,461,11/27/2020 02:15:01 PM
12-11-20,71-80,4,465,11/27/2020 02:15:01 PM
13-11-20,71-80,0,465,11/27/2020 02:15:01 PM
14-11-20,71-80,2,467,11/27/2020 02:15:01 PM
15-11-20,71-80,0,467,11/27/2020 02:15:01 PM
16-11-20,71-80,2,469,11/27/2020 02:15:01 PM
17-11-20,71-80,2,471,11/27/2020 02:15:01 PM
18-11-20,71-80,8,479,11/27/2020 02:15:01 PM
19-11-20,71-80,1,480,11/27/2020 02:15:01 PM
20-11-20,71-80,3,483,11/27/2020 02:15:01 PM
21-11-20,71-80,2,485,11/27/2020 02:15:01 PM
22-11-20,71-80,0,485,11/27/2020 02:15:01 PM
23-11-20,71-80,3,488,11/27/2020 02:15:01 PM
24-11-20,71-80,6,494,11/27/2020 02:15:01 PM
25-11-20,71-80,2,496,11/27/2020 02:15:01 PM
26-11-20,71-80,0,496,11/27/2020 02:15:01 PM
11-03-20,31-40,3,7,11/27/2020 02:15:01 PM
12-03-20,31-40,1,8,11/27/2020 02:15:01 PM
13-03-20,31-40,3,11,11/27/2020 02:15:01 PM
14-03-20,31-40,2,13,11/27/2020 02:15:01 PM
15-03-20,31-40,4,17,11/27/2020 02:15:01 PM
16-03-20,31-40,15,32,11/27/2020 02:15:01 PM
17-03-20,31-40,13,45,11/27/2020 02:15:01 PM
18-03-20,31-40,4,49,11/27/2020 02:15:01 PM
19-03-20,31-40,5,54,11/27/2020 02:15:01 PM
20-03-20,31-40,8,62,11/27/2020 02:15:01 PM
21-03-20,31-40,4,66,11/27/2020 02:15:01 PM
22-03-20,31-40,2,68,11/27/2020 02:15:01 PM
23-03-20,31-40,7,75,11/27/2020 02:15:01 PM
24-03-20,31-40,14,89,11/27/2020 02:15:01 PM
25-03-20,31-40,10,99,11/27/2020 02:15:01 PM
26-03-20,31-40,8,107,11/27/2020 02:15:01 PM
27-03-20,31-40,7,114,11/27/2020 02:15:01 PM
28-03-20,31-40,2,116,11/27/2020 02:15:01 PM
29-03-20,31-40,2,118,11/27/2020 02:15:01 PM
30-03-20,31-40,8,126,11/27/2020 02:15:01 PM
31-03-20,31-40,13,139,11/27/2020 02:15:01 PM
01-04-20,31-40,7,146,11/27/2020 02:15:01 PM
02-04-20,31-40,14,160,11/27/2020 02:15:01 PM
03-04-20,31-40,7,167,11/27/2020 02:15:01 PM
04-04-20,31-40,4,171,11/27/2020 02:15:01 PM
05-04-20,31-40,10,181,11/27/2020 02:15:01 PM
06-04-20,31-40,9,190,11/27/2020 02:15:01 PM
07-04-20,31-40,10,200,11/27/2020 02:15:01 PM
08-04-20,31-40,16,216,11/27/2020 02:15:01 PM
09-04-20,31-40,11,227,11/27/2020 02:15:01 PM
10-04-20,31-40,7,234,11/27/2020 02:15:01 PM
11-04-20,31-40,7,241,11/27/2020 02:15:01 PM
12-04-20,31-40,4,245,11/27/2020 02:15:01 PM
13-04-20,31-40,6,251,11/27/2020 02:15:01 PM
14-04-20,31-40,8,259,11/27/2020 02:15:01 PM
15-04-20,31-40,11,270,11/27/2020 02:15:01 PM
16-04-20,31-40,10,280,11/27/2020 02:15:01 PM
17-04-20,31-40,12,292,11/27/2020 02:15:01 PM
18-04-20,31-40,3,295,11/27/2020 02:15:01 PM
19-04-20,31-40,5,300,11/27/2020 02:15:01 PM
20-04-20,31-40,6,306,11/27/2020 02:15:01 PM
21-04-20,31-40,4,310,11/27/2020 02:15:01 PM
22-04-20,31-40,7,317,11/27/2020 02:15:01 PM
23-04-20,31-40,10,327,11/27/2020 02:15:01 PM
24-04-20,31-40,7,334,11/27/2020 02:15:01 PM
25-04-20,31-40,6,340,11/27/2020 02:15:01 PM
26-04-20,31-40,9,349,11/27/2020 02:15:01 PM
27-04-20,31-40,8,357,11/27/2020 02:15:01 PM
28-04-20,31-40,16,373,11/27/2020 02:15:01 PM
29-04-20,31-40,9,382,11/27/2020 02:15:01 PM
30-04-20,31-40,9,391,11/27/2020 02:15:01 PM
01-05-20,31-40,11,402,11/27/2020 02:15:01 PM
02-05-20,31-40,17,419,11/27/2020 02:15:01 PM
03-05-20,31-40,6,425,11/27/2020 02:15:01 PM
04-05-20,31-40,9,434,11/27/2020 02:15:01 PM
05-05-20,31-40,12,446,11/27/2020 02:15:01 PM
06-05-20,31-40,9,455,11/27/2020 02:15:01 PM
07-05-20,31-40,11,466,11/27/2020 02:15:01 PM
08-05-20,31-40,5,471,11/27/2020 02:15:01 PM
09-05-20,31-40,2,473,11/27/2020 02:15:01 PM
10-05-20,31-40,2,475,11/27/2020 02:15:01 PM
11-05-20,31-40,10,485,11/27/2020 02:15:01 PM
12-05-20,31-40,10,495,11/27/2020 02:15:01 PM
13-05-20,31-40,9,504,11/27/2020 02:15:01 PM
14-05-20,31-40,6,510,11/27/2020 02:15:01 PM
15-05-20,31-40,14,524,11/27/2020 02:15:01 PM
16-05-20,31-40,4,528,11/27/2020 02:15:01 PM
17-05-20,31-40,4,532,11/27/2020 02:15:01 PM
18-05-20,31-40,10,542,11/27/2020 02:15:01 PM
19-05-20,31-40,3,545,11/27/2020 02:15:01 PM
20-05-20,31-40,8,553,11/27/2020 02:15:01 PM
21-05-20,31-40,2,555,11/27/2020 02:15:01 PM
22-05-20,31-40,7,562,11/27/2020 02:15:01 PM
23-05-20,31-40,3,565,11/27/2020 02:15:01 PM
24-05-20,31-40,2,567,11/27/2020 02:15:01 PM
25-05-20,31-40,1,568,11/27/2020 02:15:01 PM
26-05-20,31-40,15,583,11/27/2020 02:15:01 PM
27-05-20,31-40,10,593,11/27/2020 02:15:01 PM
28-05-20,31-40,6,599,11/27/2020 02:15:01 PM
29-05-20,31-40,9,608,11/27/2020 02:15:01 PM
30-05-20,31-40,8,616,11/27/2020 02:15:01 PM
31-05-20,31-40,9,625,11/27/2020 02:15:01 PM
01-06-20,31-40,8,633,11/27/2020 02:15:01 PM
02-06-20,31-40,8,641,11/27/2020 02:15:01 PM
03-06-20,31-40,10,651,11/27/2020 02:15:01 PM
04-06-20,31-40,9,660,11/27/2020 02:15:01 PM
05-06-20,31-40,5,665,11/27/2020 02:15:01 PM
06-06-20,31-40,2,667,11/27/2020 02:15:01 PM
07-06-20,31-40,3,670,11/27/2020 02:15:01 PM
08-06-20,31-40,4,674,11/27/2020 02:15:01 PM
09-06-20,31-40,7,681,11/27/2020 02:15:01 PM
10-06-20,31-40,4,685,11/27/2020 02:15:01 PM
11-06-20,31-40,8,693,11/27/2020 02:15:01 PM
12-06-20,31-40,9,702,11/27/2020 02:15:01 PM
13-06-20,31-40,7,709,11/27/2020 02:15:01 PM
14-06-20,31-40,5,714,11/27/2020 02:15:01 PM
15-06-20,31-40,7,721,11/27/2020 02:15:01 PM
16-06-20,31-40,6,727,11/27/2020 02:15:01 PM
17-06-20,31-40,14,741,11/27/2020 02:15:01 PM
18-06-20,31-40,12,753,11/27/2020 02:15:01 PM
19-06-20,31-40,10,763,11/27/2020 02:15:01 PM
20-06-20,31-40,10,773,11/27/2020 02:15:01 PM
21-06-20,31-40,5,778,11/27/2020 02:15:01 PM
22-06-20,31-40,25,803,11/27/2020 02:15:01 PM
23-06-20,31-40,16,819,11/27/2020 02:15:01 PM
24-06-20,31-40,15,834,11/27/2020 02:15:01 PM
25-06-20,31-40,14,848,11/27/2020 02:15:01 PM
26-06-20,31-40,21,869,11/27/2020 02:15:01 PM
27-06-20,31-40,14,883,11/27/2020 02:15:01 PM
28-06-20,31-40,2,885,11/27/2020 02:15:01 PM
29-06-20,31-40,24,909,11/27/2020 02:15:01 PM
30-06-20,31-40,27,936,11/27/2020 02:15:01 PM
01-07-20,31-40,20,956,11/27/2020 02:15:01 PM
02-07-20,31-40,26,982,11/27/2020 02:15:01 PM
03-07-20,31-40,20,1002,11/27/2020 02:15:01 PM
04-07-20,31-40,7,1009,11/27/2020 02:15:01 PM
05-07-20,31-40,11,1020,11/27/2020 02:15:01 PM
06-07-20,31-40,18,1038,11/27/2020 02:15:01 PM
07-07-20,31-40,28,1066,11/27/2020 02:15:01 PM
08-07-20,31-40,33,1099,11/27/2020 02:15:01 PM
09-07-20,31-40,28,1127,11/27/2020 02:15:01 PM
10-07-20,31-40,29,1156,11/27/2020 02:15:01 PM
11-07-20,31-40,20,1176,11/27/2020 02:15:01 PM
12-07-20,31-40,16,1192,11/27/2020 02:15:01 PM
13-07-20,31-40,40,1232,11/27/2020 02:15:01 PM
14-07-20,31-40,47,1279,11/27/2020 02:15:01 PM
15-07-20,31-40,36,1315,11/27/2020 02:15:01 PM
16-07-20,31-40,31,1346,11/27/2020 02:15:01 PM
17-07-20,31-40,43,1389,11/27/2020 02:15:01 PM
18-07-20,31-40,22,1411,11/27/2020 02:15:01 PM
19-07-20,31-40,16,1427,11/27/2020 02:15:01 PM
20-07-20,31-40,35,1462,11/27/2020 02:15:01 PM
21-07-20,31-40,36,1498,11/27/2020 02:15:01 PM
22-07-20,31-40,29,1527,11/27/2020 02:15:01 PM
23-07-20,31-40,37,1564,11/27/2020 02:15:01 PM
24-07-20,31-40,26,1590,11/27/2020 02:15:01 PM
25-07-20,31-40,14,1604,11/27/2020 02:15:01 PM
26-07-20,31-40,18,1622,11/27/2020 02:15:01 PM
27-07-20,31-40,22,1644,11/27/2020 02:15:01 PM
28-07-20,31-40,21,1665,11/27/2020 02:15:01 PM
29-07-20,31-40,32,1697,11/27/2020 02:15:01 PM
30-07-20,31-40,28,1725,11/27/2020 02:15:01 PM
31-07-20,31-40,25,1750,11/27/2020 02:15:01 PM
01-08-20,31-40,14,1764,11/27/2020 02:15:01 PM
02-08-20,31-40,8,1772,11/27/2020 02:15:01 PM
03-08-20,31-40,24,1796,11/27/2020 02:15:01 PM
04-08-20,31-40,17,1813,11/27/2020 02:15:01 PM
05-08-20,31-40,30,1843,11/27/2020 02:15:01 PM
06-08-20,31-40,17,1860,11/27/2020 02:15:01 PM
07-08-20,31-40,27,1887,11/27/2020 02:15:01 PM
08-08-20,31-40,17,1904,11/27/2020 02:15:01 PM
09-08-20,31-40,18,1922,11/27/2020 02:15:01 PM
10-08-20,31-40,27,1949,11/27/2020 02:15:01 PM
11-08-20,31-40,19,1968,11/27/2020 02:15:01 PM
12-08-20,31-40,31,1999,11/27/2020 02:15:01 PM
13-08-20,31-40,22,2021,11/27/2020 02:15:01 PM
14-08-20,31-40,28,2049,11/27/2020 02:15:01 PM
15-08-20,31-40,18,2067,11/27/2020 02:15:01 PM
16-08-20,31-40,6,2073,11/27/2020 02:15:01 PM
17-08-20,31-40,17,2090,11/27/2020 02:15:01 PM
18-08-20,31-40,26,2116,11/27/2020 02:15:01 PM
19-08-20,31-40,18,2134,11/27/2020 02:15:01 PM
20-08-20,31-40,16,2150,11/27/2020 02:15:01 PM
21-08-20,31-40,21,2171,11/27/2020 02:15:01 PM
22-08-20,31-40,9,2180,11/27/2020 02:15:01 PM
23-08-20,31-40,10,2190,11/27/2020 02:15:01 PM
24-08-20,31-40,20,2210,11/27/2020 02:15:01 PM
25-08-20,31-40,13,2223,11/27/2020 02:15:01 PM
26-08-20,31-40,23,2246,11/27/2020 02:15:01 PM
27-08-20,31-40,26,2272,11/27/2020 02:15:01 PM
28-08-20,31-40,18,2290,11/27/2020 02:15:01 PM
29-08-20,31-40,10,2300,11/27/2020 02:15:01 PM
30-08-20,31-40,9,2309,11/27/2020 02:15:01 PM
31-08-20,31-40,11,2320,11/27/2020 02:15:01 PM
01-09-20,31-40,16,2336,11/27/2020 02:15:01 PM
02-09-20,31-40,12,2348,11/27/2020 02:15:01 PM
03-09-20,31-40,23,2371,11/27/2020 02:15:01 PM
04-09-20,31-40,18,2389,11/27/2020 02:15:01 PM
05-09-20,31-40,10,2399,11/27/2020 02:15:01 PM
06-09-20,31-40,6,2405,11/27/2020 02:15:01 PM
07-09-20,31-40,11,2416,11/27/2020 02:15:01 PM
08-09-20,31-40,11,2427,11/27/2020 02:15:01 PM
09-09-20,31-40,14,2441,11/27/2020 02:15:01 PM
10-09-20,31-40,7,2448,11/27/2020 02:15:01 PM
11-09-20,31-40,11,2459,11/27/2020 02:15:01 PM
12-09-20,31-40,5,2464,11/27/2020 02:15:01 PM
13-09-20,31-40,4,2468,11/27/2020 02:15:01 PM
14-09-20,31-40,23,2491,11/27/2020 02:15:01 PM
15-09-20,31-40,14,2505,11/27/2020 02:15:01 PM
16-09-20,31-40,12,2517,11/27/2020 02:15:01 PM
17-09-20,31-40,13,2530,11/27/2020 02:15:01 PM
18-09-20,31-40,15,2545,11/27/2020 02:15:01 PM
19-09-20,31-40,6,2551,11/27/2020 02:15:01 PM
20-09-20,31-40,4,2555,11/27/2020 02:15:01 PM
21-09-20,31-40,12,2567,11/27/2020 02:15:01 PM
22-09-20,31-40,16,2583,11/27/2020 02:15:01 PM
23-09-20,31-40,13,2596,11/27/2020 02:15:01 PM
24-09-20,31-40,10,2606,11/27/2020 02:15:01 PM
25-09-20,31-40,7,2613,11/27/2020 02:15:01 PM
26-09-20,31-40,4,2617,11/27/2020 02:15:01 PM
27-09-20,31-40,10,2627,11/27/2020 02:15:01 PM
28-09-20,31-40,12,2639,11/27/2020 02:15:01 PM
29-09-20,31-40,15,2654,11/27/2020 02:15:01 PM
30-09-20,31-40,8,2662,11/27/2020 02:15:01 PM
01-10-20,31-40,11,2673,11/27/2020 02:15:01 PM
02-10-20,31-40,7,2680,11/27/2020 02:15:01 PM
03-10-20,31-40,5,2685,11/27/2020 02:15:01 PM
04-10-20,31-40,4,2689,11/27/2020 02:15:01 PM
05-10-20,31-40,5,2694,11/27/2020 02:15:01 PM
06-10-20,31-40,10,2704,11/27/2020 02:15:01 PM
07-10-20,31-40,14,2718,11/27/2020 02:15:01 PM
08-10-20,31-40,7,2725,11/27/2020 02:15:01 PM
09-10-20,31-40,7,2732,11/27/2020 02:15:01 PM
10-10-20,31-40,1,2733,11/27/2020 02:15:01 PM
11-10-20,31-40,6,2739,11/27/2020 02:15:01 PM
12-10-20,31-40,7,2746,11/27/2020 02:15:01 PM
13-10-20,31-40,9,2755,11/27/2020 02:15:01 PM
14-10-20,31-40,3,2758,11/27/2020 02:15:01 PM
15-10-20,31-40,12,2770,11/27/2020 02:15:01 PM
16-10-20,31-40,9,2779,11/27/2020 02:15:01 PM
17-10-20,31-40,5,2784,11/27/2020 02:15:01 PM
18-10-20,31-40,3,2787,11/27/2020 02:15:01 PM
19-10-20,31-40,14,2801,11/27/2020 02:15:01 PM
20-10-20,31-40,12,2813,11/27/2020 02:15:01 PM
21-10-20,31-40,9,2822,11/27/2020 02:15:01 PM
22-10-20,31-40,15,2837,11/27/2020 02:15:01 PM
23-10-20,31-40,10,2847,11/27/2020 02:15:01 PM
24-10-20,31-40,6,2853,11/27/2020 02:15:01 PM
25-10-20,31-40,5,2858,11/27/2020 02:15:01 PM
26-10-20,31-40,12,2870,11/27/2020 02:15:01 PM
27-10-20,31-40,17,2887,11/27/2020 02:15:01 PM
28-10-20,31-40,17,2904,11/27/2020 02:15:01 PM
29-10-20,31-40,16,2920,11/27/2020 02:15:01 PM
30-10-20,31-40,13,2933,11/27/2020 02:15:01 PM
31-10-20,31-40,15,2948,11/27/2020 02:15:01 PM
01-11-20,31-40,8,2956,11/27/2020 02:15:01 PM
02-11-20,31-40,20,2976,11/27/2020 02:15:01 PM
03-11-20,31-40,35,3011,11/27/2020 02:15:01 PM
04-11-20,31-40,27,3038,11/27/2020 02:15:01 PM
05-11-20,31-40,32,3070,11/27/2020 02:15:01 PM
06-11-20,31-40,20,3090,11/27/2020 02:15:01 PM
07-11-20,31-40,12,3102,11/27/2020 02:15:01 PM
08-11-20,31-40,9,3111,11/27/2020 02:15:01 PM
09-11-20,31-40,32,3143,11/27/2020 02:15:01 PM
10-11-20,31-40,23,3166,11/27/2020 02:15:01 PM
11-11-20,31-40,27,3193,11/27/2020 02:15:01 PM
12-11-20,31-40,38,3231,11/27/2020 02:15:01 PM
13-11-20,31-40,21,3252,11/27/2020 02:15:01 PM
14-11-20,31-40,21,3273,11/27/2020 02:15:01 PM
15-11-20,31-40,15,3288,11/27/2020 02:15:01 PM
16-11-20,31-40,49,3337,11/27/2020 02:15:01 PM
17-11-20,31-40,32,3369,11/27/2020 02:15:01 PM
18-11-20,31-40,46,3415,11/27/2020 02:15:01 PM
19-11-20,31-40,45,3460,11/27/2020 02:15:01 PM
20-11-20,31-40,37,3497,11/27/2020 02:15:01 PM
21-11-20,31-40,15,3512,11/27/2020 02:15:01 PM
22-11-20,31-40,17,3529,11/27/2020 02:15:01 PM
23-11-20,31-40,25,3554,11/27/2020 02:15:01 PM
24-11-20,31-40,28,3582,11/27/2020 02:15:01 PM
25-11-20,31-40,8,3590,11/27/2020 02:15:01 PM
26-11-20,31-40,0,3590,11/27/2020 02:15:01 PM
07-03-20,18-30,3,5,11/27/2020 02:15:01 PM
08-03-20,18-30,0,5,11/27/2020 02:15:01 PM
09-03-20,18-30,0,5,11/27/2020 02:15:01 PM
10-03-20,18-30,0,5,11/27/2020 02:15:01 PM
11-03-20,18-30,3,8,11/27/2020 02:15:01 PM
12-03-20,18-30,0,8,11/27/2020 02:15:01 PM
13-03-20,18-30,3,11,11/27/2020 02:15:01 PM
14-03-20,18-30,4,15,11/27/2020 02:15:01 PM
15-03-20,18-30,2,17,11/27/2020 02:15:01 PM
16-03-20,18-30,2,19,11/27/2020 02:15:01 PM
17-03-20,18-30,4,23,11/27/2020 02:15:01 PM
18-03-20,18-30,6,29,11/27/2020 02:15:01 PM
19-03-20,18-30,3,32,11/27/2020 02:15:01 PM
20-03-20,18-30,8,40,11/27/2020 02:15:01 PM
21-03-20,18-30,2,42,11/27/2020 02:15:01 PM
22-03-20,18-30,6,48,11/27/2020 02:15:01 PM
23-03-20,18-30,7,55,11/27/2020 02:15:01 PM
24-03-20,18-30,8,63,11/27/2020 02:15:01 PM
25-03-20,18-30,7,70,11/27/2020 02:15:01 PM
26-03-20,18-30,6,76,11/27/2020 02:15:01 PM
27-03-20,18-30,4,80,11/27/2020 02:15:01 PM
28-03-20,18-30,4,84,11/27/2020 02:15:01 PM
29-03-20,18-30,2,86,11/27/2020 02:15:01 PM
30-03-20,18-30,7,93,11/27/2020 02:15:01 PM
31-03-20,18-30,10,103,11/27/2020 02:15:01 PM
01-04-20,18-30,10,113,11/27/2020 02:15:01 PM
02-04-20,18-30,7,120,11/27/2020 02:15:01 PM
03-04-20,18-30,3,123,11/27/2020 02:15:01 PM
04-04-20,18-30,2,125,11/27/2020 02:15:01 PM
05-04-20,18-30,9,134,11/27/2020 02:15:01 PM
06-04-20,18-30,9,143,11/27/2020 02:15:01 PM
07-04-20,18-30,11,154,11/27/2020 02:15:01 PM
08-04-20,18-30,6,160,11/27/2020 02:15:01 PM
09-04-20,18-30,13,173,11/27/2020 02:15:01 PM
10-04-20,18-30,2,175,11/27/2020 02:15:01 PM
11-04-20,18-30,5,180,11/27/2020 02:15:01 PM
12-04-20,18-30,3,183,11/27/2020 02:15:01 PM
13-04-20,18-30,4,187,11/27/2020 02:15:01 PM
14-04-20,18-30,4,191,11/27/2020 02:15:01 PM
15-04-20,18-30,3,194,11/27/2020 02:15:01 PM
16-04-20,18-30,6,200,11/27/2020 02:15:01 PM
17-04-20,18-30,6,206,11/27/2020 02:15:01 PM
18-04-20,18-30,1,207,11/27/2020 02:15:01 PM
19-04-20,18-30,2,209,11/27/2020 02:15:01 PM
20-04-20,18-30,6,215,11/27/2020 02:15:01 PM
21-04-20,18-30,7,222,11/27/2020 02:15:01 PM
22-04-20,18-30,3,225,11/27/2020 02:15:01 PM
23-04-20,18-30,5,230,11/27/2020 02:15:01 PM
24-04-20,18-30,8,238,11/27/2020 02:15:01 PM
25-04-20,18-30,3,241,11/27/2020 02:15:01 PM
26-04-20,18-30,7,248,11/27/2020 02:15:01 PM
27-04-20,18-30,9,257,11/27/2020 02:15:01 PM
28-04-20,18-30,23,280,11/27/2020 02:15:01 PM
29-04-20,18-30,14,294,11/27/2020 02:15:01 PM
30-04-20,18-30,10,304,11/27/2020 02:15:01 PM
01-05-20,18-30,2,306,11/27/2020 02:15:01 PM
02-05-20,18-30,10,316,11/27/2020 02:15:01 PM
03-05-20,18-30,0,316,11/27/2020 02:15:01 PM
04-05-20,18-30,9,325,11/27/2020 02:15:01 PM
05-05-20,18-30,10,335,11/27/2020 02:15:01 PM
06-05-20,18-30,13,348,11/27/2020 02:15:01 PM
07-05-20,18-30,2,350,11/27/2020 02:15:01 PM
08-05-20,18-30,6,356,11/27/2020 02:15:01 PM
09-05-20,18-30,2,358,11/27/2020 02:15:01 PM
10-05-20,18-30,2,360,11/27/2020 02:15:01 PM
11-05-20,18-30,3,363,11/27/2020 02:15:01 PM
12-05-20,18-30,7,370,11/27/2020 02:15:01 PM
13-05-20,18-30,6,376,11/27/2020 02:15:01 PM
14-05-20,18-30,10,386,11/27/2020 02:15:01 PM
15-05-20,18-30,4,390,11/27/2020 02:15:01 PM
16-05-20,18-30,0,390,11/27/2020 02:15:01 PM
17-05-20,18-30,2,392,11/27/2020 02:15:01 PM
18-05-20,18-30,11,403,11/27/2020 02:15:01 PM
19-05-20,18-30,12,415,11/27/2020 02:15:01 PM
20-05-20,18-30,8,423,11/27/2020 02:15:01 PM
21-05-20,18-30,8,431,11/27/2020 02:15:01 PM
22-05-20,18-30,10,441,11/27/2020 02:15:01 PM
23-05-20,18-30,6,447,11/27/2020 02:15:01 PM
24-05-20,18-30,5,452,11/27/2020 02:15:01 PM
25-05-20,18-30,4,456,11/27/2020 02:15:01 PM
26-05-20,18-30,10,466,11/27/2020 02:15:01 PM
27-05-20,18-30,6,472,11/27/2020 02:15:01 PM
28-05-20,18-30,5,477,11/27/2020 02:15:01 PM
29-05-20,18-30,8,485,11/27/2020 02:15:01 PM
30-05-20,18-30,7,492,11/27/2020 02:15:01 PM
31-05-20,18-30,6,498,11/27/2020 02:15:01 PM
01-06-20,18-30,12,510,11/27/2020 02:15:01 PM
02-06-20,18-30,9,519,11/27/2020 02:15:01 PM
03-06-20,18-30,7,526,11/27/2020 02:15:01 PM
04-06-20,18-30,11,537,11/27/2020 02:15:01 PM
05-06-20,18-30,8,545,11/27/2020 02:15:01 PM
06-06-20,18-30,2,547,11/27/2020 02:15:01 PM
07-06-20,18-30,7,554,11/27/2020 02:15:01 PM
08-06-20,18-30,12,566,11/27/2020 02:15:01 PM
09-06-20,18-30,6,572,11/27/2020 02:15:01 PM
10-06-20,18-30,5,577,11/27/2020 02:15:01 PM
11-06-20,18-30,5,582,11/27/2020 02:15:01 PM
12-06-20,18-30,4,586,11/27/2020 02:15:01 PM
13-06-20,18-30,6,592,11/27/2020 02:15:01 PM
14-06-20,18-30,5,597,11/27/2020 02:15:01 PM
15-06-20,18-30,10,607,11/27/2020 02:15:01 PM
16-06-20,18-30,17,624,11/27/2020 02:15:01 PM
17-06-20,18-30,14,638,11/27/2020 02:15:01 PM
18-06-20,18-30,14,652,11/27/2020 02:15:01 PM
19-06-20,18-30,12,664,11/27/2020 02:15:01 PM
20-06-20,18-30,14,678,11/27/2020 02:15:01 PM
21-06-20,18-30,16,694,11/27/2020 02:15:01 PM
22-06-20,18-30,27,721,11/27/2020 02:15:01 PM
23-06-20,18-30,18,739,11/27/2020 02:15:01 PM
24-06-20,18-30,21,760,11/27/2020 02:15:01 PM
25-06-20,18-30,27,787,11/27/2020 02:15:01 PM
26-06-20,18-30,18,805,11/27/2020 02:15:01 PM
27-06-20,18-30,18,823,11/27/2020 02:15:01 PM
28-06-20,18-30,13,836,11/27/2020 02:15:01 PM
29-06-20,18-30,20,856,11/27/2020 02:15:01 PM
30-06-20,18-30,26,882,11/27/2020 02:15:01 PM
01-07-20,18-30,23,905,11/27/2020 02:15:01 PM
02-07-20,18-30,40,945,11/27/2020 02:15:01 PM
03-07-20,18-30,20,965,11/27/2020 02:15:01 PM
04-07-20,18-30,11,976,11/27/2020 02:15:01 PM
05-07-20,18-30,16,992,11/27/2020 02:15:01 PM
06-07-20,18-30,24,1016,11/27/2020 02:15:01 PM
07-07-20,18-30,36,1052,11/27/2020 02:15:01 PM
08-07-20,18-30,29,1081,11/27/2020 02:15:01 PM
09-07-20,18-30,37,1118,11/27/2020 02:15:01 PM
10-07-20,18-30,36,1154,11/27/2020 02:15:01 PM
11-07-20,18-30,19,1173,11/27/2020 02:15:01 PM
12-07-20,18-30,15,1188,11/27/2020 02:15:01 PM
13-07-20,18-30,36,1224,11/27/2020 02:15:01 PM
14-07-20,18-30,42,1266,11/27/2020 02:15:01 PM
15-07-20,18-30,44,1310,11/27/2020 02:15:01 PM
16-07-20,18-30,39,1349,11/27/2020 02:15:01 PM
17-07-20,18-30,40,1389,11/27/2020 02:15:01 PM
18-07-20,18-30,20,1409,11/27/2020 02:15:01 PM
19-07-20,18-30,16,1425,11/27/2020 02:15:01 PM
20-07-20,18-30,38,1463,11/27/2020 02:15:01 PM
21-07-20,18-30,27,1490,11/27/2020 02:15:01 PM
22-07-20,18-30,37,1527,11/27/2020 02:15:01 PM
